"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/04/2026 00:00:00 - 14/04/2026 00:15:00","BZN|DK1","Without Sequence","115.48","",""
"14/04/2026 00:15:00 - 14/04/2026 00:30:00","BZN|DK1","Without Sequence","116.21","",""
"14/04/2026 00:30:00 - 14/04/2026 00:45:00","BZN|DK1","Without Sequence","113.33","",""
"14/04/2026 00:45:00 - 14/04/2026 01:00:00","BZN|DK1","Without Sequence","111.07","",""
"14/04/2026 01:00:00 - 14/04/2026 01:15:00","BZN|DK1","Without Sequence","113.56","",""
"14/04/2026 01:15:00 - 14/04/2026 01:30:00","BZN|DK1","Without Sequence","113.25","",""
"14/04/2026 01:30:00 - 14/04/2026 01:45:00","BZN|DK1","Without Sequence","112.79","",""
"14/04/2026 01:45:00 - 14/04/2026 02:00:00","BZN|DK1","Without Sequence","115.06","",""
"14/04/2026 02:00:00 - 14/04/2026 02:15:00","BZN|DK1","Without Sequence","115.10","",""
"14/04/2026 02:15:00 - 14/04/2026 02:30:00","BZN|DK1","Without Sequence","115.00","",""
"14/04/2026 02:30:00 - 14/04/2026 02:45:00","BZN|DK1","Without Sequence","114.39","",""
"14/04/2026 02:45:00 - 14/04/2026 03:00:00","BZN|DK1","Without Sequence","115.47","",""
"14/04/2026 03:00:00 - 14/04/2026 03:15:00","BZN|DK1","Without Sequence","113.20","",""
"14/04/2026 03:15:00 - 14/04/2026 03:30:00","BZN|DK1","Without Sequence","112.86","",""
"14/04/2026 03:30:00 - 14/04/2026 03:45:00","BZN|DK1","Without Sequence","113.80","",""
"14/04/2026 03:45:00 - 14/04/2026 04:00:00","BZN|DK1","Without Sequence","113.68","",""
"14/04/2026 04:00:00 - 14/04/2026 04:15:00","BZN|DK1","Without Sequence","113.49","",""
"14/04/2026 04:15:00 - 14/04/2026 04:30:00","BZN|DK1","Without Sequence","114.09","",""
"14/04/2026 04:30:00 - 14/04/2026 04:45:00","BZN|DK1","Without Sequence","114.94","",""
"14/04/2026 04:45:00 - 14/04/2026 05:00:00","BZN|DK1","Without Sequence","115.74","",""
"14/04/2026 05:00:00 - 14/04/2026 05:15:00","BZN|DK1","Without Sequence","114.27","",""
"14/04/2026 05:15:00 - 14/04/2026 05:30:00","BZN|DK1","Without Sequence","116.19","",""
"14/04/2026 05:30:00 - 14/04/2026 05:45:00","BZN|DK1","Without Sequence","117.37","",""
"14/04/2026 05:45:00 - 14/04/2026 06:00:00","BZN|DK1","Without Sequence","123.21","",""
"14/04/2026 06:00:00 - 14/04/2026 06:15:00","BZN|DK1","Without Sequence","119.56","",""
"14/04/2026 06:15:00 - 14/04/2026 06:30:00","BZN|DK1","Without Sequence","134.39","",""
"14/04/2026 06:30:00 - 14/04/2026 06:45:00","BZN|DK1","Without Sequence","136.42","",""
"14/04/2026 06:45:00 - 14/04/2026 07:00:00","BZN|DK1","Without Sequence","153.92","",""
"14/04/2026 07:00:00 - 14/04/2026 07:15:00","BZN|DK1","Without Sequence","156.12","",""
"14/04/2026 07:15:00 - 14/04/2026 07:30:00","BZN|DK1","Without Sequence","167.62","",""
"14/04/2026 07:30:00 - 14/04/2026 07:45:00","BZN|DK1","Without Sequence","171.86","",""
"14/04/2026 07:45:00 - 14/04/2026 08:00:00","BZN|DK1","Without Sequence","155.56","",""
"14/04/2026 08:00:00 - 14/04/2026 08:15:00","BZN|DK1","Without Sequence","196.18","",""
"14/04/2026 08:15:00 - 14/04/2026 08:30:00","BZN|DK1","Without Sequence","179.40","",""
"14/04/2026 08:30:00 - 14/04/2026 08:45:00","BZN|DK1","Without Sequence","150.29","",""
