"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"14/04/2026 00:00:00 - 14/04/2026 00:15:00","BZN|DK1","N/A","5.78","5.89","5.85"
"14/04/2026 00:15:00 - 14/04/2026 00:30:00","BZN|DK1","N/A","4.97","4.97","6.19"
"14/04/2026 00:30:00 - 14/04/2026 00:45:00","BZN|DK1","N/A","4.69","4.69","5.73"
"14/04/2026 00:45:00 - 14/04/2026 01:00:00","BZN|DK1","N/A","5.04","5.04","5.63"
"14/04/2026 01:00:00 - 14/04/2026 01:15:00","BZN|DK1","N/A","4.20","4.44","6.86"
"14/04/2026 01:15:00 - 14/04/2026 01:30:00","BZN|DK1","N/A","5.42","5.42","6.82"
"14/04/2026 01:30:00 - 14/04/2026 01:45:00","BZN|DK1","N/A","5.72","5.72","9.19"
"14/04/2026 01:45:00 - 14/04/2026 02:00:00","BZN|DK1","N/A","5.21","5.68","10.44"
"14/04/2026 02:00:00 - 14/04/2026 02:15:00","BZN|DK1","N/A","7.16","8.24","9.25"
"14/04/2026 02:15:00 - 14/04/2026 02:30:00","BZN|DK1","N/A","8.12","8.12","8.18"
"14/04/2026 02:30:00 - 14/04/2026 02:45:00","BZN|DK1","N/A","7.11","7.11","7.51"
"14/04/2026 02:45:00 - 14/04/2026 03:00:00","BZN|DK1","N/A","6.21","6.21","7.96"
"14/04/2026 03:00:00 - 14/04/2026 03:15:00","BZN|DK1","N/A","5.89","5.89","8.32"
"14/04/2026 03:15:00 - 14/04/2026 03:30:00","BZN|DK1","N/A","5.98","6.48","8.49"
"14/04/2026 03:30:00 - 14/04/2026 03:45:00","BZN|DK1","N/A","6.77","6.77","7.66"
"14/04/2026 03:45:00 - 14/04/2026 04:00:00","BZN|DK1","N/A","6.49","6.49","8.19"
"14/04/2026 04:00:00 - 14/04/2026 04:15:00","BZN|DK1","N/A","6.38","6.38","8.74"
"14/04/2026 04:15:00 - 14/04/2026 04:30:00","BZN|DK1","N/A","6.67","6.67","7.21"
"14/04/2026 04:30:00 - 14/04/2026 04:45:00","BZN|DK1","N/A","6.65","6.65","7.19"
